win_start,win_end,covid_rate,state,unmet_need
2020-08-19,2020-08-31,163.04425170860455,United States,9.2
2020-09-02,2020-09-14,147.37126553006462,United States,9.7
2020-09-16,2020-09-28,166.91543222867935,United States,10.4
2020-09-30,2020-10-12,192.02696656324923,United States,9.7
2020-10-14,2020-10-26,256.52280718026356,United States,10.6
2020-10-28,2020-11-09,401.10812610270835,United States,11.2
2020-11-11,2020-11-23,648.9816461541818,United States,11.1
2020-11-25,2020-12-07,709.5197168341421,United States,12
2020-12-09,2020-12-21,850.6094783171366,United States,12.4
2021-01-06,2021-01-18,895.1580739739182,United States,11.4
2021-01-20,2021-02-01,616.1585247185978,United States,11.7
2021-02-03,2021-02-15,379.3503477233369,United States,11.5
2021-02-17,2021-03-01,263.8397637676577,United States,11.9
2021-03-03,2021-03-15,233.4248539220696,United States,11.7
2021-03-17,2021-03-29,234.16463528246422,United States,11.1
2021-04-14,2021-04-26,235.57269385055625,United States,9.9
2021-04-28,2021-05-10,169.831413814411,United States,9.8
2021-05-12,2021-05-24,111.09271345802075,United States,10.1
2021-05-26,2021-06-07,62.731769811864524,United States,9.8
2021-06-09,2021-06-21,48.66053699479891,United States,9.8
2021-06-23,2021-07-05,60.22972787803392,United States,10.3
2021-07-21,2021-08-02,281.2834582676316,United States,11.4
2021-08-04,2021-08-16,497.62062992678506,United States,10.6
2021-08-18,2021-08-30,606.4025826020724,United States,11.2
2021-09-01,2021-09-13,599.5816295042739,United States,11.3
2021-09-15,2021-09-27,491.33761735328665,United States,11.6
2021-09-29,2021-10-11,372.982555964573,United States,11
2021-12-01,2021-12-13,470.92091896859483,United States,11.1
2021-12-29,2022-01-10,2503.8820343677257,United States,11.3
2022-01-26,2022-02-07,1366.2573007663275,United States,11.1
2022-03-02,2022-03-14,142.03711607991087,United States,11.5
2022-03-30,2022-04-11,120.37196122323161,United States,11.5
2022-04-27,2022-05-09,250.84380858862082,United States,11.5
